ONT-filename	ONT-sample_ID	ONT-path	ONT-filetype	ONT-library_ID	ONT-library_strategy	ONT-library_source	ONT-library_selection	ONT-library_layout	ONT-platform	ONT-instrument_model	ONT-design_description	ONT-data_type	ONT-shear_method	ONT-size_selection	ONT-seq_kit	ONT-basecaller	ONT-basecaller_version	ONT-basecaller_model	ONT-generator_facility	ONT-generator_contact	ONT-read_N50	ONT-coverage	ONT-100kb+	ONT-200kb+	ONT-300kb+	ONT-400kb+	ONT-500kb+	ONT-1Mb+	ONT-whales	HiFi-sample_ID	HiFi-filename	HiFi-library_ID	HiFi-library_strategy	HiFi-library_source	HiFi-library_selection	HiFi-library_layout	HiFi-platform	HiFi-instrument_model	HiFi-design_description	HiFi-data_type	HiFi-shear_method	HiFi-size_selection	HiFi-ccs_algorithm	HiFi-polymerase_version	HiFi-seq_plate_chemistry_version	HiFi-generator_facility	HiFi-generator_contact	HiFi-notes	HiFi-total_reads	HiFi-total_bp	HiFi-total_Gbp	HiFi-min	HiFi-max	HiFi-quartile_25	HiFi-quartile_50	HiFi-quartile_75	HiFi-N25	HiFi-N50	HiFi-N75	DEEPCONSENSUS-filename	DEEPCONSENSUS-sample_ID	DEEPCONSENSUS-library_ID	DEEPCONSENSUS-library_strategy	DEEPCONSENSUS-library_source	DEEPCONSENSUS-library_selection	DEEPCONSENSUS-library_layout	DEEPCONSENSUS-platform	DEEPCONSENSUS-instrument_model	DEEPCONSENSUS-design_description	DEEPCONSENSUS-data_type	DEEPCONSENSUS-shear_method	DEEPCONSENSUS-size_selection	DEEPCONSENSUS-DeepConsensus_version	DEEPCONSENSUS-polymerase_version	DEEPCONSENSUS-seq_plate_chemistry_version	DEEPCONSENSUS-generator_facility	DEEPCONSENSUS-generator_contact	DEEPCONSENSUS-total_reads	DEEPCONSENSUS-total_bp	DEEPCONSENSUS-total_Gbp	DEEPCONSENSUS-min	DEEPCONSENSUS-max	DEEPCONSENSUS-quartile_25	DEEPCONSENSUS-quartile_50	DEEPCONSENSUS-quartile_75	DEEPCONSENSUS-N25	DEEPCONSENSUS-N50	DEEPCONSENSUS-N75
																														HG01993	"['m64043_210620_041711.hifi_reads.bam'
 'm64043_210622_163331.hifi_reads.bam'
 'm64043_210624_032817.hifi_reads.bam']"	HG01993_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5106510.0	105652792614.0	105.66	117.66666666666669	56029.0	18612.666666666668	20236.0	22328.666666666668	18899.666666666668	20627.666666666668	22854.0																													
																														HG01496	"['m64043_210625_184443.hifi_reads.bam'
 'm64043_210627_054642.hifi_reads.bam'
 'm64043_210628_151651.hifi_reads.bam']"	HG01496_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	4669004.0	103450736004.0	103.45	87.33333333333333	62789.66666666666	18015.33333333333	20861.0	25224.0	18696.0	22469.33333333333	26894.0																													
																														HG00544	"['m64043_210702_183246.hifi_reads.bam'
 'm64136_210520_180433.hifi_reads.bam'
 'm64136_210522_014758.hifi_reads.bam'
 'm64136_210523_100337.hifi_reads.bam'
 'm64136_210525_165246.hifi_reads.bam']"	"['HG00544_lib2' 'HG00544_lib1' 'HG00544_lib1' 'HG00544_lib1'
 'HG00544_lib1']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan nan]	6359433.0	123111383507.0	123.11	101.6	55243.2	16962.6	18503.4	21436.6	17238.0	19090.6	22309.0																													
																														HG01099	"['m64043_210704_052805.hifi_reads.bam'
 'm64043_210705_162656.hifi_reads.bam'
 'm64043_210707_032602.hifi_reads.bam']"	HG01099_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5333429.0	101389815928.0	101.4	633.0	53905.333333333336	16163.333333333334	18663.0	21069.0	16626.0	19344.666666666668	21740.33333333333																													
																														HG02004	"['m64043_210709_205614.hifi_reads.bam'
 'm64136_210702_183526.hifi_reads.bam'
 'm64136_210704_053041.hifi_reads.bam'
 'm64136_210705_162724.hifi_reads.bam']"	HG02004_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5994441.0	116279722292.0	116.28	193.25	56206.5	16481.25	18508.75	21671.0	16875.5	19469.25	22591.5																													
																														HG01943	"['m64043_210716_230222.hifi_reads.bam'
 'm64043_210718_100009.hifi_reads.bam'
 'm64043_210719_210019.hifi_reads.bam']"	HG01943_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5224545.0	98451504876.0	98.45	80.66666666666667	53774.0	17336.333333333332	18548.0	20039.0	17511.0	18778.33333333333	20330.33333333333																													
																														HG02809	"['m64043_210723_184340.hifi_reads.bam'
 'm64043_210725_053930.hifi_reads.bam'
 'm64043_210726_163819.hifi_reads.bam'
 'm64043_210728_163353.hifi_reads.bam']"	HG02809_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	bc1019 barcoded adapter	5397603.0	114056028254.0	114.05	130.0	62910.75	17412.5	20547.5	23792.25	18051.75	21553.25	24974.0																													
																														HG02015	"['m64043_210901_164337-bc1022.5mc.hifi_reads.bam'
 'm64043_210903_163032-bc1022.5mc.hifi_reads.bam'
 'm64043_210905_032603-bc1022.5mc.hifi_reads.bam']"	HG02015_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	8968594.0	170994721462.0	171.0	59.333333333333336	270461.3333333333	16054.0	17745.666666666668	21127.33333333333	16543.333333333332	18865.666666666668	22600.33333333333																													
																														HG01975	"['m64043_211113_003158-bc1003.5mc.hifi_reads.bam'
 'm64043_211114_112934-bc1003.5mc.hifi_reads.bam'
 'm64043_211115_222749-bc1003.5mc.hifi_reads.bam'
 'm64043_211222_184851-bc1003.5mc.hifi_reads.bam']"	HG01975_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5515995.0	108746099808.0	108.73	500.25	62022.5	17633.5	18913.25	20845.0	17819.75	19255.5	21515.0																													
																														MGISTL_PAN027_HG06807	"['m64043_211118_185250-bc1008.5mc.hifi_reads.bam'
 'm64043_211120_054831-bc1008.5mc.hifi_reads.bam'
 'm64043_211121_164646-bc1008.5mc.hifi_reads.bam'
 'm64043_211222_184851-bc1008.5mc.hifi_reads.bam']"	MGISTL_PAN027_HG06807_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5650622.0	110065163025.0	110.06	478.5	54925.5	17330.5	19242.0	21372.25	17796.25	19707.0	22009.0																													
																														HG01192	"['m64043_211124_192057.5mc.hifi_reads.bam'
 'm64043_211126_061537.5mc.hifi_reads.bam'
 'm64043_211127_171224.5mc.hifi_reads.bam']"	HG01192_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5336643.0	109768814629.0	109.77	146.0	53050.0	18065.33333333333	19867.0	22415.666666666668	18443.666666666668	20423.0	23282.0																													
																														HG00597	"['m64043_211210_180342-bc1021.5mc.hifi_reads.bam'
 'm64043_211212_045901-bc1021.5mc.hifi_reads.bam'
 'm64043_211213_155654-bc1021.5mc.hifi_reads.bam'
 'm64043_211222_184851-bc1021.5mc.hifi_reads.bam']"	HG00597_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5615541.0	113675838638.0	113.68	163.25	50902.0	18039.25	19289.25	20980.5	18212.75	19560.75	21371.0																													
																														HG02258	"['m64043_211217_180919-bc1011.5mc.hifi_reads.bam'
 'm64043_211219_050421-bc1011.5mc.hifi_reads.bam'
 'm64043_211220_160211-bc1011.5mc.hifi_reads.bam'
 'm64043_220114_181052-bc1011.5mc.hifi_reads.bam']"	HG02258_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5499454.0	113359237881.0	113.36	145.25	51184.0	18677.25	20144.25	22060.0	18922.75	20478.5	22544.5																													
																														HG01261	"['m64043_211222_184851-bc1001.5mc.hifi_reads.bam'
 'm64136_211105_181124-bc1001.5mc.hifi_reads.bam'
 'm64136_211107_050725-bc1001.5mc.hifi_reads.bam'
 'm64136_211108_160613-bc1001.5mc.hifi_reads.bam']"	HG01261_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5161088.0	108829925406.0	108.82	519.5	63969.25	18124.75	19704.0	22736.5	18425.75	20313.25	24472.75																													
																														HG03834	"['m64043_220107_191226-bc1012.5mc.hifi_reads.bam'
 'm64043_220109_060731-bc1012.5mc.hifi_reads.bam'
 'm64043_220110_170603-bc1012.5mc.hifi_reads.bam']"	HG03834_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5598083.0	116889371257.0	116.88	204.0	61351.333333333336	18843.33333333333	20301.33333333333	22315.33333333333	19082.0	20654.33333333333	22861.33333333333																													
																														HG02056	"['m64043_220114_181052-bc1009.5mc.hifi_reads.bam'
 'm64136_211118_185339-bc1009.5mc.hifi_reads.bam'
 'm64136_211120_043838-bc1009.5mc.hifi_reads.bam'
 'm64136_211121_153454-bc1009.5mc.hifi_reads.bam']"	HG02056_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5679969.0	113846751906.0	113.85	178.25	54760.25	17812.5	19401.5	21833.25	18173.75	19946.25	22822.25																													
																														HG02273	"['m64043_220429_171542-bc1002.5mc.hifi_reads.bam'
 'm64043_220501_041051-bc1002.5mc.hifi_reads.bam'
 'm64043_220503_153752-bc1002.5mc.hifi_reads.bam']"	HG02273_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5903679.0	121600583776.0	121.61	201.66666666666663	62397.333333333336	17286.0	20040.33333333333	22991.33333333333	17745.333333333332	20929.666666666668	23942.0																													
																														HG03225	"['m64043_220516_150157-bc1008.5mc.hifi_reads.bam'
 'm64043_220518_120044-bc1008.5mc.hifi_reads.bam'
 'm64043_220726_203720-bc1008.5mc.hifi_reads.bam'
 'm64136_220518_004520-bc1008.5mc.hifi_reads.bam']"	HG03225_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5326587.0	112212870399.0	112.21	218.75	59274.0	18472.25	20378.5	23025.25	18883.75	20973.25	23895.0																													
																														HG02976	"['m64043_220617_195135-bc1009.5mc.hifi_reads.bam'
 'm64043_220619_164635-bc1009.5mc.hifi_reads.bam'
 'm64043_220621_134351-bc1009.5mc.hifi_reads.bam'
 'm64043_220726_203720-bc1009.5mc.hifi_reads.bam']"	HG02976_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5647116.0	112783863474.0	112.79	362.0	58631.25	18041.0	19545.0	21432.75	18312.5	19891.5	21912.75																													
																														NA18971	"['m64043_220701_181144-bc1011.5mc.hifi_reads.bam'
 'm64043_220703_150718-bc1011.5mc.hifi_reads.bam'
 'm64043_220705_120954-bc1011.5mc.hifi_reads.bam'
 'm64043_220728_173215-bc1011.5mc.hifi_reads.bam']"	NA18971_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5613400.0	112771322891.0	112.78	123.75	58901.0	17193.25	19176.5	21526.25	17670.5	19742.75	22230.0																													
																														NA18612	"['m64043_220708_205637-bc1015.5mc.hifi_reads.bam'
 'm64043_220710_175250-bc1015.5mc.hifi_reads.bam'
 'm64043_220712_145025-bc1015.5mc.hifi_reads.bam']"	NA18612_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5841587.0	112118957729.0	112.12	61.333333333333336	61085.0	16774.666666666668	18415.33333333333	20902.0	17121.333333333332	18955.666666666668	21861.33333333333																													
																														HG02965	"['m64043_220715_182700-bc1017.5mc.hifi_reads.bam'
 'm64043_220717_152237-bc1017.5mc.hifi_reads.bam'
 'm64043_220719_122051-bc1017.5mc.hifi_reads.bam']"	HG02965_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5649185.0	117758080603.0	117.76	61.0	69066.33333333333	17728.0	19579.0	22870.0	18139.33333333333	20369.0	24579.33333333333																													
																														HG03195	"['m64043_220726_203720-bc1010.5mc.hifi_reads.bam'
 'm64136_220617_195203-bc1010.5mc.hifi_reads.bam'
 'm64136_220619_164654-bc1010.5mc.hifi_reads.bam'
 'm64136_220621_134558-bc1010.5mc.hifi_reads.bam']"	HG03195_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5231064.0	108936228750.0	108.93	284.75	65133.75	18408.5	20479.0	23915.5	18849.25	21402.0	25062.75																													
																														HG02155	"['m64043_220728_173215-bc1012.5mc.hifi_reads.bam'
 'm64136_220701_181202-bc1012.5mc.hifi_reads.bam'
 'm64136_220703_150713-bc1012.5mc.hifi_reads.bam'
 'm64136_220705_120453-bc1012.5mc.hifi_reads.bam']"	HG02155_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5548657.0	109337497040.0	109.33	102.5	59921.0	16897.75	18752.25	21935.5	17291.25	19526.5	23099.75																													
																														HG00323	"['m64043_220728_173215-bc1016.5mc.hifi_reads.bam'
 'm64136_220708_205611-bc1016.5mc.hifi_reads.bam'
 'm64136_220710_175208-bc1016.5mc.hifi_reads.bam'
 'm64136_220712_144943-bc1016.5mc.hifi_reads.bam']"	HG00323_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5649668.0	108877434581.0	108.88	59.0	58728.0	16918.25	19058.5	21932.0	17386.5	19840.5	22783.0																													
																														HG00140	"['m64043_220728_173215-bc1018.5mc.hifi_reads.bam'
 'm64136_220715_182717-bc1018.5mc.hifi_reads.bam'
 'm64136_220717_152248-bc1018.5mc.hifi_reads.bam'
 'm64136_220719_122056-bc1018.5mc.hifi_reads.bam']"	HG00140_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5079512.0	110351432113.0	110.35	109.5	66877.75	18370.75	20403.5	23533.5	18843.0	21199.5	24878.0																													
																														HG02257	"['m64076_200125_231256.ccs.bam' 'm64076_200127_180545.ccs.bam'
 'm64076_200129_001835.ccs.bam' 'm64076_200130_064345.ccs.bam']"	HG02257.HiFiEx_f2	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5749113.0	110635040140.0	110.64	47.25	49652.5	17425.25	18915.5	20688.25	17688.5	19234.75	21096.5																													
																														HG01358	"['m64076_200201_051547.ccs.bam' 'm64076_200203_181219.ccs.bam'
 'm64076_200206_215943.ccs.bam' 'm64076_200208_041234.ccs.bam']"	HG01358_HiFiEx_f1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	6364271.0	117005328812.0	117.01	46.25	48687.75	16444.75	18092.25	20024.25	16808.25	18507.0	20552.75																													
																														HG01258	"['m64076_200306_185917.ccs.bam' 'm64076_200308_194406.ccs.bam'
 'm64076_200310_015720.ccs.bam' 'm64076_200311_082315.ccs.bam']"	HG01258.HiFiEx_f1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.0.0 (commit SL-release-8.0.0)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5577429.0	111148503052.0	111.15	45.25	50051.75	17271.75	19567.25	22331.25	17896.75	20330.75	23195.75																													
																														HG002	['m64076_201013_225902.ccs.bam' 'm64076_201016_191536.ccs.bam']	NA24385_HG002.f4.f3	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	g-TUBE	SageELF	ccs 4.2.0 (commit v4.2.0-1-g450908e4)	P2.0	C2.0	University of Washington	kmiyamot@uw.edu	[nan nan]	1763308.0	36529831416.0	36.53	46.0	58350.5	18793.5	19981.5	21594.5	18978.0	20249.0	22122.5																													
																														HG04115	"['m64076_210623_104349.hifi_reads.bam'
 'm64076_210625_220013.hifi_reads.bam'
 'm64076_210627_085544.hifi_reads.bam']"	HG04115.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	4531755.0	94768332991.0	94.77	311.0	58577.0	17012.333333333332	20342.0	24285.666666666668	18207.666666666668	21753.33333333333	25879.666666666668																													
																														HG04184	"['m64076_210701_234028.hifi_reads.bam'
 'm64076_210708_084125.hifi_reads.bam'
 'm64076_210709_232529.hifi_reads.bam'
 'm64076_210712_194121.hifi_reads.bam']"	HG04184.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5757224.0	108310319084.0	108.31	249.75	52703.75	15966.75	18158.5	21123.75	16503.0	18973.0	22176.5																													
																														HG02738	"['m64076_210706_214544.hifi_reads.bam'
 'm64076_210711_102225.hifi_reads.bam'
 'm64076_210714_200553.hifi_reads.bam'
 'm64076_210718_085619.hifi_reads.bam']"	HG02738.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5025655.0	94670794528.0	94.67	311.5	55540.75	15815.25	18066.25	21151.5	16394.25	18960.5	22334.0																													
																														HG02451	"['m64076_211109_232223-bc1003.5mc.hifi_reads.bam'
 'm64076_211208_005550-bc1003.5mc.hifi_reads.bam'
 'm64076_211211_014755-bc1003.5mc.hifi_reads.bam'
 'm64076_211212_112351-bc1003.5mc.hifi_reads.bam']"	['HG02451_SRE.HFSS' 'HG02451.HFSS2' 'HG02451.HFSS2' 'HG02451.HFSS2']	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 25kb fractionated gDNA'
 'HiFi sequencing of 21kb fractionated gDNA'
 'HiFi sequencing of 21kb fractionated gDNA'
 'HiFi sequencing of 21kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	7435443.0	131328267349.0	131.32	221.0	54143.25	15516.5	17568.5	20465.0	15996.25	18356.5	21510.0																													
																														HG03130	"['m64076_220513_215716-bc2018.5mc.hifi_reads.bam'
 'm64076_220516_221911-bc2018.5mc.hifi_reads.bam'
 'm64076_220518_191414-bc2018.5mc.hifi_reads.bam']"	HG03130.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	5983670.0	117430041495.0	117.43	76.33333333333333	57822.333333333336	16157.333333333334	18824.666666666668	22318.0	16930.333333333332	19939.0	23697.33333333333																													
																														HG03209	"['m64076_220520_234906-bc2020.5mc.hifi_reads.bam'
 'm64076_220524_161808-bc2020.5mc.hifi_reads.bam'
 'm64076_220526_115049-bc2020.5mc.hifi_reads.bam'
 'm64076_221001_041132-bc2020.5mc.hifi_reads.bam']"	HG03209.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	6212818.0	116291157249.0	116.29	349.0	55815.25	15878.5	18069.5	21054.75	16418.25	18893.25	22107.0																													
																														HG02165	"['m64076_220902_143723-bc2054.5mc.hifi_reads.bam'
 'm64076_220904_113359-bc2054.5mc.hifi_reads.bam'
 'm64076_220906_083112-bc2054.5mc.hifi_reads.bam']"	PG02165.HFSS2	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	6574514.0	134714728151.0	134.71	85.33333333333333	61906.0	17573.666666666668	19856.666666666668	22877.666666666668	18100.666666666668	20641.33333333333	23818.33333333333																													
																														HG02040	"['m64076_220908_204946-bc2056.5mc.hifi_reads.bam'
 'm64076_220910_174812-bc2056.5mc.hifi_reads.bam'
 'm64076_220912_140850-bc2056.5mc.hifi_reads.bam']"	HG02040.HFSS2	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	6239647.0	129897975183.0	129.91	88.66666666666667	64304.333333333336	17708.666666666668	20125.33333333333	23418.0	18330.666666666668	21051.0	24587.0																													
																														NA20905	"['m64076_220914_214248-bc2060.5mc.hifi_reads.bam'
 'm64076_220916_183810-bc2060.5mc.hifi_reads.bam'
 'm64076_220918_143117-bc2060.5mc.hifi_reads.bam']"	PG20905.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	6446308.0	128900471343.0	128.9	71.66666666666667	65137.333333333336	16709.333333333332	19306.0	22672.0	17423.666666666668	20318.33333333333	23883.0																													
																														HG01978	"['m64136_200530_164818.ccs.bam' 'm64136_200602_153012.ccs.bam'
 'm64136_200603_214308.ccs.bam' 'm64136_200605_040848.ccs.bam']"	HG01978_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	4495166.0	117569516835.0	117.57	45.5	50242.75	22851.0	25408.25	28811.5	23424.75	26201.5	29890.75																													
																														HG01952	"['m64136_200612_201033.ccs.bam' 'm64136_200614_192134.ccs.bam'
 'm64136_200616_013426.ccs.bam' 'm64136_200617_080019.ccs.bam']"	HG01952_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5991057.0	127850914815.0	127.86	46.5	49848.5	18528.25	20428.25	23504.25	18887.25	21109.0	24533.5																													
