filename	sample_ID	path	filetype	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	seq_kit	basecaller	basecaller_version	basecaller_model	generator_facility	generator_contact	read_N50	coverage	100kb+	200kb+	300kb+	400kb+	500kb+	1Mb+	whales
"['07_13_21_R941_HG02132_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG02132_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG02132_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02132	"['s3://human-pangenomics/working/HPRC/HG02132/raw_data/nanopore/guppy_6/07_13_21_R941_HG02132_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02132/raw_data/nanopore/guppy_6/07_13_21_R941_HG02132_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02132/raw_data/nanopore/guppy_6/07_13_21_R941_HG02132_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_13_21_R941_HG02132_1' '07_13_21_R941_HG02132_2'
 '07_13_21_R941_HG02132_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	73596.33333333333	69.09	22.92	2.9	0.3299999999999999	0.07	0.02	0.0	2
"['07_20_21_R941_HG02602_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02602_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02602_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02602	"['s3://human-pangenomics/working/HPRC/HG02602/raw_data/nanopore/guppy_6/07_20_21_R941_HG02602_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02602/raw_data/nanopore/guppy_6/07_20_21_R941_HG02602_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02602/raw_data/nanopore/guppy_6/07_20_21_R941_HG02602_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_20_21_R941_HG02602_1' '07_20_21_R941_HG02602_2'
 '07_20_21_R941_HG02602_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	64289.0	83.09	20.1	1.32	0.12	0.03	0.0	0.0	3
"['07_20_21_R941_HG02615_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02615_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02615_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02615	"['s3://human-pangenomics/working/HPRC/HG02615/raw_data/nanopore/guppy_6/07_20_21_R941_HG02615_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02615/raw_data/nanopore/guppy_6/07_20_21_R941_HG02615_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02615/raw_data/nanopore/guppy_6/07_20_21_R941_HG02615_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_20_21_R941_HG02615_1' '07_20_21_R941_HG02615_2'
 '07_20_21_R941_HG02615_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	69875.66666666667	68.78999999999999	20.92	2.3	0.2	0.03	0.0	0.0	0
"['07_20_21_R941_HG02668_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02668_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02668_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02668	"['s3://human-pangenomics/working/HPRC/HG02668/raw_data/nanopore/guppy_6/07_20_21_R941_HG02668_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02668/raw_data/nanopore/guppy_6/07_20_21_R941_HG02668_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02668/raw_data/nanopore/guppy_6/07_20_21_R941_HG02668_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_20_21_R941_HG02668_1' '07_20_21_R941_HG02668_2'
 '07_20_21_R941_HG02668_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	68008.33333333333	54.02	14.8	0.99	0.1	0.02	0.0	0.0	2
"['07_20_21_R941_HG02698_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02698_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02698_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02698_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG02698_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02698	"['s3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_20_21_R941_HG02698_1' '07_20_21_R941_HG02698_2'
 '07_20_21_R941_HG02698_3' '07_20_21_R941_HG02698_4'
 '07_20_21_R941_HG02698_5']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	67445.4	82.66	22.73	1.6800000000000002	0.22	0.04	0.0	0.0	0
"['07_20_21_R941_HG03710_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG03710_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG03710_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG03710_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03710	"['s3://human-pangenomics/working/HPRC/HG03710/raw_data/nanopore/guppy_6/07_20_21_R941_HG03710_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03710/raw_data/nanopore/guppy_6/07_20_21_R941_HG03710_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03710/raw_data/nanopore/guppy_6/07_20_21_R941_HG03710_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03710/raw_data/nanopore/guppy_6/07_20_21_R941_HG03710_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_20_21_R941_HG03710_1' '07_20_21_R941_HG03710_2'
 '07_20_21_R941_HG03710_3' '07_20_21_R941_HG03710_4']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	71632.5	67.23	21.84	4.31	1.15	0.3999999999999999	0.1699999999999999	0.01	25
"['07_20_21_R941_HG03804_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG03804_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG03804_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03804	"['s3://human-pangenomics/working/HPRC/HG03804/raw_data/nanopore/guppy_6/07_20_21_R941_HG03804_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03804/raw_data/nanopore/guppy_6/07_20_21_R941_HG03804_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03804/raw_data/nanopore/guppy_6/07_20_21_R941_HG03804_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_20_21_R941_HG03804_1' '07_20_21_R941_HG03804_2'
 '07_20_21_R941_HG03804_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	84510.0	92.29	37.8	7.49	1.14	0.22	0.06	0.0	1
"['07_20_21_R941_HG03816_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG03816_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG03816_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03816	"['s3://human-pangenomics/working/HPRC/HG03816/raw_data/nanopore/guppy_6/07_20_21_R941_HG03816_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03816/raw_data/nanopore/guppy_6/07_20_21_R941_HG03816_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03816/raw_data/nanopore/guppy_6/07_20_21_R941_HG03816_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_20_21_R941_HG03816_1' '07_20_21_R941_HG03816_2'
 '07_20_21_R941_HG03816_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	69550.33333333333	79.52000000000001	24.32	4.63	1.27	0.42	0.16	0.0	25
"['07_20_21_R941_HG03942_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG03942_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_20_21_R941_HG03942_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03942	"['s3://human-pangenomics/working/HPRC/HG03942/raw_data/nanopore/guppy_6/07_20_21_R941_HG03942_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03942/raw_data/nanopore/guppy_6/07_20_21_R941_HG03942_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03942/raw_data/nanopore/guppy_6/07_20_21_R941_HG03942_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_20_21_R941_HG03942_1' '07_20_21_R941_HG03942_2'
 '07_20_21_R941_HG03942_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	65569.33333333333	55.3	15.22	1.31	0.12	0.02	0.0	0.0	1
"['07_27_21_R941_HG00408_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG00408_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG00408_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00408	"['s3://human-pangenomics/working/HPRC/HG00408/raw_data/nanopore/guppy_6/07_27_21_R941_HG00408_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00408/raw_data/nanopore/guppy_6/07_27_21_R941_HG00408_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00408/raw_data/nanopore/guppy_6/07_27_21_R941_HG00408_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_27_21_R941_HG00408_1' '07_27_21_R941_HG00408_2'
 '07_27_21_R941_HG00408_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	82661.0	71.69	28.53	5.74	1.02	0.2	0.05	0.0	4
"['07_27_21_R941_HG00597_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG00597_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG00597_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG00597_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00597	"['s3://human-pangenomics/working/HPRC/HG00597/raw_data/nanopore/guppy_6/07_27_21_R941_HG00597_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00597/raw_data/nanopore/guppy_6/07_27_21_R941_HG00597_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00597/raw_data/nanopore/guppy_6/07_27_21_R941_HG00597_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00597/raw_data/nanopore/guppy_6/07_27_21_R941_HG00597_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_27_21_R941_HG00597_1' '07_27_21_R941_HG00597_2'
 '07_27_21_R941_HG00597_3' '07_27_21_R941_HG00597_4']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	77419.0	83.3	29.57	4.65	0.88	0.23	0.06	0.0	4
"['07_27_21_R941_HG01261_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG01261_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG01261_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG01261	"['s3://human-pangenomics/working/HPRC/HG01261/raw_data/nanopore/guppy_6/07_27_21_R941_HG01261_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01261/raw_data/nanopore/guppy_6/07_27_21_R941_HG01261_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01261/raw_data/nanopore/guppy_6/07_27_21_R941_HG01261_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_27_21_R941_HG01261_1' '07_27_21_R941_HG01261_2'
 '07_27_21_R941_HG01261_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	66095.66666666667	66.39	19.91	2.21	0.26	0.06	0.02	0.0	9
"['07_27_21_R941_HG01934_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG01934_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG01934_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG01934_4_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG01934	"['s3://human-pangenomics/working/HPRC/HG01934/raw_data/nanopore/guppy_6/07_27_21_R941_HG01934_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01934/raw_data/nanopore/guppy_6/07_27_21_R941_HG01934_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01934/raw_data/nanopore/guppy_6/07_27_21_R941_HG01934_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01934/raw_data/nanopore/guppy_6/07_27_21_R941_HG01934_4_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_27_21_R941_HG01934_1' '07_27_21_R941_HG01934_2'
 '07_27_21_R941_HG01934_3' '07_27_21_R941_HG01934_4']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	90343.5	75.6	33.629999999999995	6.529999999999999	0.76	0.1	0.01	0.0	1
"['07_27_21_R941_HG03654_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG03654_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG03654_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03654	"['s3://human-pangenomics/working/HPRC/HG03654/raw_data/nanopore/guppy_6/07_27_21_R941_HG03654_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03654/raw_data/nanopore/guppy_6/07_27_21_R941_HG03654_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03654/raw_data/nanopore/guppy_6/07_27_21_R941_HG03654_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_27_21_R941_HG03654_1' '07_27_21_R941_HG03654_2'
 '07_27_21_R941_HG03654_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	86670.0	59.39	24.42	3.54	0.44	0.12	0.05	0.0	8
"['07_27_21_R941_HG03669_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG03669_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG03669_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG03669_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03669	"['s3://human-pangenomics/working/HPRC/HG03669/raw_data/nanopore/guppy_6/07_27_21_R941_HG03669_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03669/raw_data/nanopore/guppy_6/07_27_21_R941_HG03669_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03669/raw_data/nanopore/guppy_6/07_27_21_R941_HG03669_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03669/raw_data/nanopore/guppy_6/07_27_21_R941_HG03669_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_27_21_R941_HG03669_1' '07_27_21_R941_HG03669_2'
 '07_27_21_R941_HG03669_3' '07_27_21_R941_HG03669_4']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	79026.25	60.87	21.44	1.77	0.13	0.02	0.0	0.0	0
"['07_27_21_R941_HG03688_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG03688_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG03688_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03688	"['s3://human-pangenomics/working/HPRC/HG03688/raw_data/nanopore/guppy_6/07_27_21_R941_HG03688_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03688/raw_data/nanopore/guppy_6/07_27_21_R941_HG03688_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03688/raw_data/nanopore/guppy_6/07_27_21_R941_HG03688_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_27_21_R941_HG03688_1' '07_27_21_R941_HG03688_2'
 '07_27_21_R941_HG03688_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	82544.66666666667	72.82	27.76	3.86	0.5900000000000001	0.15	0.05	0.0	6
"['07_27_21_R941_HG04115_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG04115_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG04115_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG04115_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_27_21_R941_HG04115_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG04115	"['s3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_27_21_R941_HG04115_1' '07_27_21_R941_HG04115_2'
 '07_27_21_R941_HG04115_3' '07_27_21_R941_HG04115_4'
 '07_27_21_R941_HG04115_5']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	79158.2	55.93	20.47	3.34	0.7	0.19	0.06	0.0	4
