accession	study	bioproject_accession	biosample_accession	filename	library_ID	library_strategy	library_source	platform	instrument_model	design_description	generator_facility	generator_contact	assembly	data_type	filetype	library_layout	library_selection	shear_method	title	total_bp	coverage	ntsm_score	ntsm_result	total_Gbp	sample_ID
SRR30242400	SRP305758	PRJNA701308	SAMN33758788	HG02922-2_S20_L001_R2_001.fastq.gz	HG02922-2_S20_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02922	14473925138	4.67	0.571817	Similar	14.473925138	HG02922
SRR30242399	SRP305758	PRJNA701308	SAMN33758788	HG02922-2_S20_L002_R2_001.fastq.gz	HG02922-2_S20_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02922	14673914780	4.73	0.527607	Similar	14.67391478	HG02922
SRR30242398	SRP305758	PRJNA701308	SAMN33758788	HG02922-2_S20_L003_R2_001.fastq.gz	HG02922-2_S20_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02922	14567183879	4.7	0.546273	Similar	14.567183879	HG02922
SRR30242397	SRP305758	PRJNA701308	SAMN33758788	HG02922-2_S20_L004_R2_001.fastq.gz	HG02922-2_S20_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02922	14012189171	4.52	0.524473	Similar	14.012189171	HG02922
SRR30242396	SRP305758	PRJNA701308	SAMN33758788	HG02922-2_S20i_L001_R2_001.fastq.gz	HG02922-2_S20i_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02922	28604467707	9.23	0.472228	Similar	28.604467707	HG02922
SRR30242395	SRP305758	PRJNA701308	SAMN33758788	HG02922-2_S20i_L002_R2_001.fastq.gz	HG02922-2_S20i_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02922	29968611585	9.67	0.471149	Similar	29.968611585	HG02922
SRR30242393	SRP305758	PRJNA701308	SAMN33758788	HG02922-2_S20i_L003_R2_001.fastq.gz	HG02922-2_S20i_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02922	26805199204	8.65	0.490183	Similar	26.805199204	HG02922
SRR30242392	SRP305758	PRJNA701308	SAMN33758788	HG02922-2_S20i_L004_R2_001.fastq.gz	HG02922-2_S20i_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02922	23401744757	7.55	0.48997	Similar	23.401744757	HG02922
SRR30242391	SRP305758	PRJNA701308	SAMN33621954	HG02965-1_S1_L001_R2_001.fastq.gz	HG02965-1_S1_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02965	10908367237	3.52	0.611813	Similar	10.908367237	HG02965
SRR30242390	SRP305758	PRJNA701308	SAMN33621954	HG02965-1_S1_L002_R2_001.fastq.gz	HG02965-1_S1_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02965	11187675916	3.61	0.588381	Similar	11.187675916	HG02965
SRR30242389	SRP305758	PRJNA701308	SAMN33621954	HG02965-1_S1_L003_R2_001.fastq.gz	HG02965-1_S1_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02965	10803222671	3.48	0.519883	Similar	10.803222671	HG02965
SRR30242388	SRP305758	PRJNA701308	SAMN33621954	HG02965-1_S1_L004_R2_001.fastq.gz	HG02965-1_S1_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02965	11042022598	3.56	0.576679	Similar	11.042022598	HG02965
SRR30242387	SRP305758	PRJNA701308	SAMN33621954	HG02965-2_S9_L001_R2_001.fastq.gz	HG02965-2_S9_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02965	9617317510	3.1	0.591012	Similar	9.61731751	HG02965
SRR30242386	SRP305758	PRJNA701308	SAMN33621954	HG02965-2_S9_L002_R2_001.fastq.gz	HG02965-2_S9_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02965	9854880335	3.18	0.621251	Similar	9.854880335	HG02965
SRR30242385	SRP305758	PRJNA701308	SAMN33621954	HG02965-2_S9_L003_R2_001.fastq.gz	HG02965-2_S9_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02965	9482716711	3.06	0.581478	Similar	9.482716711	HG02965
SRR30242384	SRP305758	PRJNA701308	SAMN33621954	HG02965-2_S9_L004_R2_001.fastq.gz	HG02965-2_S9_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02965	9691974613	3.13	0.59662	Similar	9.691974613	HG02965
SRR30242382	SRP305758	PRJNA701308	SAMN33621955	HG02976-1_S6_L001_R2_001.fastq.gz	HG02976-1_S6_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	13615192282	4.39	0.592511	Similar	13.615192282	HG02976
SRR30242381	SRP305758	PRJNA701308	SAMN33621955	HG02976-1_S6_L002_R2_001.fastq.gz	HG02976-1_S6_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	13833181288	4.46	0.549554	Similar	13.833181288	HG02976
SRR30242380	SRP305758	PRJNA701308	SAMN33621955	HG02976-1_S6_L003_R2_001.fastq.gz	HG02976-1_S6_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	13135049409	4.24	0.568814	Similar	13.135049409	HG02976
SRR30242379	SRP305758	PRJNA701308	SAMN33621955	HG02976-1_S6_L004_R2_001.fastq.gz	HG02976-1_S6_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	13005431684	4.2	0.578165	Similar	13.005431684	HG02976
SRR30242378	SRP305758	PRJNA701308	SAMN33621955	HG02976-2_S14_L001_R2_001.fastq.gz	HG02976-2_S14_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	12201618883	3.94	0.589188	Similar	12.201618883	HG02976
SRR30242377	SRP305758	PRJNA701308	SAMN33621955	HG02976-2_S14_L002_R2_001.fastq.gz	HG02976-2_S14_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	12414632826	4.0	0.572139	Similar	12.414632826	HG02976
SRR30242376	SRP305758	PRJNA701308	SAMN33621955	HG02976-2_S14_L003_R2_001.fastq.gz	HG02976-2_S14_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	12413702363	4.0	0.575913	Similar	12.413702363	HG02976
SRR30242375	SRP305758	PRJNA701308	SAMN33621955	HG02976-2_S14_L004_R2_001.fastq.gz	HG02976-2_S14_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	11921026808	3.85	0.574769	Similar	11.921026808	HG02976
SRR30242374	SRP305758	PRJNA701308	SAMN33621955	HG02976-2_S14i_L001_R2_001.fastq.gz	HG02976-2_S14i_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	28056392408	9.05	0.494608	Similar	28.056392408	HG02976
SRR30242373	SRP305758	PRJNA701308	SAMN33621955	HG02976-2_S14i_L002_R2_001.fastq.gz	HG02976-2_S14i_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	28507899595	9.2	0.471465	Similar	28.507899595	HG02976
SRR30242371	SRP305758	PRJNA701308	SAMN33621955	HG02976-2_S14i_L003_R2_001.fastq.gz	HG02976-2_S14i_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	24826011545	8.01	0.517213	Similar	24.826011545	HG02976
SRR30242370	SRP305758	PRJNA701308	SAMN33621955	HG02976-2_S14i_L004_R2_001.fastq.gz	HG02976-2_S14i_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02976	21083129517	6.8	0.529189	Similar	21.083129517	HG02976
SRR30242369	SRP305758	PRJNA701308	SAMN33758791	HG03130-1_S5_L001_R2_001.fastq.gz	HG03130-1_S5_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03130	13498735238	4.35	0.513182	Similar	13.498735238	HG03130
SRR30242368	SRP305758	PRJNA701308	SAMN33758791	HG03130-1_S5_L002_R2_001.fastq.gz	HG03130-1_S5_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03130	13859849667	4.47	0.541266	Similar	13.859849667	HG03130
SRR30242367	SRP305758	PRJNA701308	SAMN33758791	HG03130-1_S5_L003_R2_001.fastq.gz	HG03130-1_S5_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03130	13167045749	4.25	0.512745	Similar	13.167045749	HG03130
SRR30242359	SRP305758	PRJNA701308	SAMN33758791	HG03130-1_S5_L004_R2_001.fastq.gz	HG03130-1_S5_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03130	13523916317	4.36	0.559787	Similar	13.523916317	HG03130
SRR30242360	SRP305758	PRJNA701308	SAMN33758791	HG03130-2_S13_L001_R2_001.fastq.gz	HG03130-2_S13_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03130	11497300137	3.71	0.577007	Similar	11.497300137	HG03130
SRR30242361	SRP305758	PRJNA701308	SAMN33758791	HG03130-2_S13_L002_R2_001.fastq.gz	HG03130-2_S13_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03130	11784559031	3.8	0.55918	Similar	11.784559031	HG03130
SRR30242362	SRP305758	PRJNA701308	SAMN33758791	HG03130-2_S13_L003_R2_001.fastq.gz	HG03130-2_S13_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03130	11135087450	3.59	0.537702	Similar	11.13508745	HG03130
SRR30242363	SRP305758	PRJNA701308	SAMN33758791	HG03130-2_S13_L004_R2_001.fastq.gz	HG03130-2_S13_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03130	11474815636	3.7	0.567845	Similar	11.474815636	HG03130
SRR30242365	SRP305758	PRJNA701308	SAMN33758792	HG03139-1_S6_L001_R2_001.fastq.gz	HG03139-1_S6_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03139	11952237057	3.86	0.599319	Similar	11.952237057	HG03139
SRR30242366	SRP305758	PRJNA701308	SAMN33758792	HG03139-1_S6_L002_R2_001.fastq.gz	HG03139-1_S6_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03139	12302107333	3.97	0.58376	Similar	12.302107333	HG03139
SRR30242342	SRP305758	PRJNA701308	SAMN33758792	HG03139-1_S6_L003_R2_001.fastq.gz	HG03139-1_S6_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03139	11635941925	3.75	0.583228	Similar	11.635941925	HG03139
SRR30242343	SRP305758	PRJNA701308	SAMN33758792	HG03139-1_S6_L004_R2_001.fastq.gz	HG03139-1_S6_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03139	12028614997	3.88	0.596229	Similar	12.028614997	HG03139
SRR30242344	SRP305758	PRJNA701308	SAMN33758792	HG03139-2_S14_L001_R2_001.fastq.gz	HG03139-2_S14_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03139	12747435871	4.11	0.552105	Similar	12.747435871	HG03139
SRR30242345	SRP305758	PRJNA701308	SAMN33758792	HG03139-2_S14_L002_R2_001.fastq.gz	HG03139-2_S14_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03139	13101759299	4.23	0.581126	Similar	13.101759299	HG03139
SRR30242346	SRP305758	PRJNA701308	SAMN33758792	HG03139-2_S14_L003_R2_001.fastq.gz	HG03139-2_S14_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03139	12350569304	3.98	0.549756	Similar	12.350569304	HG03139
SRR30242347	SRP305758	PRJNA701308	SAMN33758792	HG03139-2_S14_L004_R2_001.fastq.gz	HG03139-2_S14_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03139	12697196399	4.1	0.562295	Similar	12.697196399	HG03139
SRR30242348	SRP305758	PRJNA701308	SAMN33621956	HG03195-1_S7_L001_R2_001.fastq.gz	HG03195-1_S7_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	14831815272	4.78	0.538429	Similar	14.831815272	HG03195
SRR30242349	SRP305758	PRJNA701308	SAMN33621956	HG03195-1_S7_L002_R2_001.fastq.gz	HG03195-1_S7_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	15041101316	4.85	0.533578	Similar	15.041101316	HG03195
SRR30242351	SRP305758	PRJNA701308	SAMN33621956	HG03195-1_S7_L003_R2_001.fastq.gz	HG03195-1_S7_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	14039451752	4.53	0.565042	Similar	14.039451752	HG03195
SRR30242352	SRP305758	PRJNA701308	SAMN33621956	HG03195-1_S7_L004_R2_001.fastq.gz	HG03195-1_S7_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	13981512589	4.51	0.553076	Similar	13.981512589	HG03195
SRR30242353	SRP305758	PRJNA701308	SAMN33621956	HG03195-2_S15_L001_R2_001.fastq.gz	HG03195-2_S15_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	14302336909	4.61	0.526772	Similar	14.302336909	HG03195
SRR30242354	SRP305758	PRJNA701308	SAMN33621956	HG03195-2_S15_L002_R2_001.fastq.gz	HG03195-2_S15_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	14500663032	4.68	0.510395	Similar	14.500663032	HG03195
SRR30242355	SRP305758	PRJNA701308	SAMN33621956	HG03195-2_S15_L003_R2_001.fastq.gz	HG03195-2_S15_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	13509134049	4.36	0.574072	Similar	13.509134049	HG03195
SRR30242356	SRP305758	PRJNA701308	SAMN33621956	HG03195-2_S15_L004_R2_001.fastq.gz	HG03195-2_S15_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	13500963017	4.36	0.543852	Similar	13.500963017	HG03195
SRR30242357	SRP305758	PRJNA701308	SAMN33621956	HG03195-2_S15i_L001_R2_001.fastq.gz	HG03195-2_S15i_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	36914321619	11.91	0.441498	Similar	36.914321619	HG03195
SRR30242358	SRP305758	PRJNA701308	SAMN33621956	HG03195-2_S15i_L002_R2_001.fastq.gz	HG03195-2_S15i_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	41837025639	13.5	0.44424	Similar	41.837025639	HG03195
SRR30242341	SRP305758	PRJNA701308	SAMN33621956	HG03195-2_S15i_L003_R2_001.fastq.gz	HG03195-2_S15i_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	34793350416	11.22	0.434257	Similar	34.793350416	HG03195
SRR30242340	SRP305758	PRJNA701308	SAMN33621956	HG03195-2_S15i_L004_R2_001.fastq.gz	HG03195-2_S15i_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03195	29900251317	9.65	0.458188	Similar	29.900251317	HG03195
SRR30242338	SRP305758	PRJNA701308	SAMN33758793	HG03209-1_S7_L001_R2_001.fastq.gz	HG03209-1_S7_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03209	15485160859	5.0	0.522831	Similar	15.485160859	HG03209
SRR30242337	SRP305758	PRJNA701308	SAMN33758793	HG03209-1_S7_L002_R2_001.fastq.gz	HG03209-1_S7_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03209	15914161942	5.13	0.518024	Similar	15.914161942	HG03209
SRR30242221	SRP305758	PRJNA701308	SAMN33758793	HG03209-1_S7_L003_R2_001.fastq.gz	HG03209-1_S7_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03209	14756398358	4.76	0.532258	Similar	14.756398358	HG03209
SRR30242220	SRP305758	PRJNA701308	SAMN33758793	HG03209-1_S7_L004_R2_001.fastq.gz	HG03209-1_S7_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03209	15315027568	4.94	0.536059	Similar	15.315027568	HG03209
SRR30242219	SRP305758	PRJNA701308	SAMN33758793	HG03209-2_S15_L001_R2_001.fastq.gz	HG03209-2_S15_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03209	11879927823	3.83	0.538166	Similar	11.879927823	HG03209
